CODICESCUOLA,DISCIPLINA,CODICEISBN,AUTORI,TITOLO,VOLUME,EDITORE,PREZZO (EURO)
RMPS50000T,ITALIANO GRAMMATICA,9788824724777,SENSINI MARCELLO,LINGUA E I TESTI (LA) VOL A + B + CD-ROM,U,A. MONDADORI SCUOLA,"40,65"
RMPC06201P,ITALIANO GRAMMATICA,9788824725323,SENSINI M.,LINGUA E I TESTI (LA) VOL 1+VOL 2+FASCICOLO,U,A. MONDADORI SCUOLA,"36,65"
RIMM808033,SCIENZE MOTORIE E SPORTIVE,9788824729307,EID LUCA - BARTOLI LAURA - MERATI MATTEO,PT - IL MIO PERSONAL TRAINER,U,A. MONDADORI SCUOLA,"16,05"
VTPS00101C,SCIENZE DELLA TERRA,9788824730464,CRIPPA MASSIMO - FIORANI MARCO,TERRA DA SCOPRIRE,U,A. MONDADORI SCUOLA,"27,65"
RMPC12000C,ITALIANO GRAMMATICA,9788824730518,SENSINI MARCELLO,FORME DELLA LINGUA (LE),U,A. MONDADORI SCUOLA,"36,55"
RMRC10201G,STORIA,9788824730648,CALVANI VITTORIA,IMPEGNO E MEMORIA 2,2,A. MONDADORI SCUOLA,"20,70"
RMMM848012,ITALIANO GRAMMATICA,9788824730716,SENSINI MARCELLO,PAROLE COME STRUMENTI A+B+CD,U,A. MONDADORI SCUOLA,"36,95"
RMMM870039,ITALIANO,9788824731041,MANZONI ALESSANDRO,PROMESSI SPOSI (I),U,A. MONDADORI SCUOLA,"12,25"
RMPC27000A,ITALIANO GRAMMATICA,9788824731317,SENSINI MARCELLO,FORME DELLA LINGUA (LE),U,A. MONDADORI SCUOLA,"39,00"
FRPS070001,ITALIANO GRAMMATICA,9788824731478,SENSINI MARCELLO,FORME DELLA LINGUA (LE),U,A. MONDADORI SCUOLA,"34,00"
FRPS02000X,SCIENZE MOTORIE E SPORTIVE,9788824731522,GIORGETTI M.G. - FOCACCI P. - ORAZI U.,A 360 - SCIENZE MOTORIE E SPORTIVE,U,A. MONDADORI SCUOLA,"25,85"
FRPC024015,LINGUA E LETTERATURA ITALIANA,9788824731874,CIOCCA DANIELA - FERRI TINA,NUOVO NARRAMI O MUSA (IL),U,A. MONDADORI SCUOLA,"28,85"
LTMM825016,STORIA,9788824731904,CALVANI VITTORIA,STORYBOARD VOL 1 + SINTESI STORIA ANTICA + ME BOOK ED. DIGIT,1,A. MONDADORI SCUOLA,"28,40"
RMMM84501E,STORIA,9788824731911,CALVANI VITTORIA,STORYBOARD VOL 1 + ME-BOOK ED. DIGIT,1,A. MONDADORI SCUOLA,"25,85"
LTMM825016,STORIA,9788824731928,CALVANI VITTORIA,STORYBOARD VOL 2 + ME-BOOK ED. DIGIT,2,A. MONDADORI SCUOLA,"29,70"
LTMM825016,STORIA,9788824731942,CALVANI VITTORIA,STORYBOARD VOL 3 + ME - BOOK ED. DIGIT,3,A. MONDADORI SCUOLA,"30,95"
RMMM8AM017,ITALIANO,9788824732178,BAUER M. G.,NON CHIAMATEMI ISMAELE,U,A. MONDADORI SCUOLA,"10,45"
RMTF110003,CHIMICA,9788824732543,TOTTOLA F - RIGHETTI M - ALLEGREZZA A,CHIMICA PER NOI VOL.UNICO 3+4+ DVD,U,A. MONDADORI SCUOLA,"34,30"
LTMM826012,STORIA,9788824734479,CALVANI VITTORIA,STORYBOARD VOL 1 + SINTESI STORIA ANTICA - PDF,1,A. MONDADORI SCUOLA,"22,14"
RMMM8EB01N,STORIA,9788824734516,CALVANI VITTORIA,STORYBOARD VOL 2 - PDF,2,A. MONDADORI SCUOLA,"23,20"
RMPM160003,ITALIANO GRAMMATICA,9788824734912,SENSINI MARCELLO,FORME DELLA LINGUA (LE)  PDF,U,A. MONDADORI SCUOLA,"28,55"
RIPS070005,ITALIANO GRAMMATICA,9788824737722,SENSINI MARCELLO,PAROLE E I TESTI (LE),U,A. MONDADORI SCUOLA,"41,95"
RIPS070005,ITALIANO GRAMMATICA,9788824737968,SENSINI MARCELLO,PAROLE E I TESTI (LE),U,A. MONDADORI SCUOLA,"39,55"
FRPC024015,FILOSOFIA,9788824738149,CHIARADONNA RICCARDO - PECERE PAOLO,FILOSOFIA. LA RICERCA DELLA CONOSCENZA,1,A. MONDADORI SCUOLA,"34,15"
FRPC024015,FILOSOFIA,9788824738156,CHIARADONNA RICCARDO - PECERE PAOLO,FILOSOFIA. LA RICERCA DELLA CONOSCENZA,2,A. MONDADORI SCUOLA,"44,60"
FRPC024015,FILOSOFIA,9788824738163,CHIARADONNA RICCARDO - PECERE PAOLO,FILOSOFIA. LA RICERCA DELLA CONOSCENZA,3,A. MONDADORI SCUOLA,"44,60"
FRMM82601A,ARTE E IMMAGINE,9788824738354,POGGI LAURA - BALDUCCI E - MORETTI CRISTINA,ARTE IN MOSTRA,U,A. MONDADORI SCUOLA,"34,10"
RMTF200009,ITALIANO,9788824738408,FRANZI TIZIANO,PROVA INVALSI DI ITALIANO (LA),U,A. MONDADORI SCUOLA,"8,80"
VTPS010006,CHIMICA,9788824738644,TOTTOLA F. - RIGHETTI M. - ALLEGREZZA A.,CHIMICA ORGANICA,U,A. MONDADORI SCUOLA,"12,80"
FRMM849013,ITALIANO GRAMMATICA,9788824738675,SENSINI MARCELLO,COMPETENZA LINGUISTICA (LA),U,A. MONDADORI SCUOLA,"38,40"
LTMM83601L,ITALIANO GRAMMATICA,9788824738712,SENSINI MARCELLO,COMPETENZA LINGUISTICA (LA),U,A. MONDADORI SCUOLA,"29,90"
RMPS49000C,ITALIANO GRAMMATICA,9788824739269,SENSINI MARCELLO,PAROLE E I TESTI (LE)  PDF,U,A. MONDADORI SCUOLA,"30,93"
RMPC09000T,SCIENZE MOTORIE E SPORTIVE,9788824739658,GIORGETTI M.G. - FOCACCI P. - ORAZI U.,A 360 - SCIENZE MOTORIE E SPORTIVE PDF,U,A. MONDADORI SCUOLA,"20,18"
RIPS070005,ITALIANO GRAMMATICA,9788824739832,SENSINI MARCELLO,PAROLE E I TESTI (LE),U,A. MONDADORI SCUOLA,"29,70"
RMMM8A001G,ITALIANO GRAMMATICA,9788824740289,SENSINI MARCELLO,COMPETENZA LINGUISTICA (LA)   PDF,U,A. MONDADORI SCUOLA,"23,39"
VTMM813015,ITALIANO,9788824740692,CALVANI VITTORIA - VOLANTE MICHELA,RAGAZZI OGGI,U,A. MONDADORI SCUOLA,"13,90"
FRMM82002C,SCIENZE,9788824740746,ZANOLI STEFANO,WOW   LA SCIENZA,1,A. MONDADORI SCUOLA,"14,80"
FRMM85501A,SCIENZE,9788824740777,ZANOLI STEFANO,WOW   LA SCIENZA,U,A. MONDADORI SCUOLA,"37,85"
